 99.62	1551387	1551387	U	0	unclassified
  0.38	5920	354	R	1	root
  0.22	3459	308	R1	131567	  cellular organisms
  0.19	2946	137	D	2	    Bacteria
  0.14	2211	133	P	1224	      Proteobacteria
  0.08	1244	19	C	28211	        Alphaproteobacteria
  0.08	1183	73	O	356	          Rhizobiales
  0.06	982	24	F	41294	            Bradyrhizobiaceae
  0.06	937	157	G	374	              Bradyrhizobium
  0.02	385	385	S	2133945	                Bradyrhizobium sp. MOS004
  0.02	359	359	S	288000	                Bradyrhizobium sp. BTAi1
  0.00	19	0	S	375	                Bradyrhizobium japonicum
  0.00	19	19	S1	1304877	                  Bradyrhizobium japonicum 22
  0.00	7	7	S	1768753	                Bradyrhizobium sp. CCH5-F6
  0.00	3	3	S	1437360	                Bradyrhizobium erythrophlei
  0.00	3	0	S	44255	                Bradyrhizobium oligotrophicum
  0.00	3	3	S1	1245469	                  Bradyrhizobium oligotrophicum S58
  0.00	1	0	S	29448	                Bradyrhizobium elkanii
  0.00	1	1	S1	1128204	                  Bradyrhizobium elkanii CCBAU 43297
  0.00	1	1	S	114615	                Bradyrhizobium sp. ORS 278
  0.00	1	1	S	722472	                Bradyrhizobium lablabi
  0.00	1	1	S	1518501	                Bradyrhizobium valentinum
  0.00	17	15	G	1033	              Afipia
  0.00	1	0	S	56946	                Afipia broomeae
  0.00	1	1	S1	883078	                  Afipia broomeae ATCC 49717
  0.00	1	1	S	1429916	                Afipia sp. P52-10
  0.00	3	1	G	85413	              Bosea
  0.00	1	1	S	1792307	                Bosea sp. PAMC 26642
  0.00	1	1	S	1125973	                Bosea sp. 117
  0.00	1	0	G	1073	              Rhodopseudomonas
  0.00	1	0	S	1076	                Rhodopseudomonas palustris
  0.00	1	1	S1	316055	                  Rhodopseudomonas palustris BisA53
  0.00	61	0	F	82115	            Rhizobiaceae
  0.00	61	3	F1	227290	              Rhizobium/Agrobacterium group
  0.00	54	5	G	357	                Agrobacterium
  0.00	49	30	G1	1183400	                  Agrobacterium tumefaciens complex
  0.00	11	1	S	358	                    Agrobacterium tumefaciens
  0.00	10	10	S1	1050720	                      Agrobacterium tumefaciens F2
  0.00	6	0	S	1183418	                    Agrobacterium genomosp. 5
  0.00	6	6	S1	1183435	                      Agrobacterium genomosp. 5 str. CFBP 6626
  0.00	2	0	S	1183419	                    Agrobacterium genomosp. 13
  0.00	2	2	S1	1183428	                      Agrobacterium genomosp. 13 str. CFBP 6927
  0.00	4	0	G	379	                Rhizobium
  0.00	1	1	S	1538158	                  Rhizobium acidisoli
  0.00	1	1	S	398	                  Rhizobium tropici
  0.00	1	1	S	1736473	                  Rhizobium sp. Root149
  0.00	1	1	S	1378077	                  Rhizobium sp. UGM030330-04
  0.00	56	5	F	119045	            Methylobacteriaceae
  0.00	47	26	G	407	              Methylobacterium
  0.00	4	4	S	582672	                Methylobacterium phyllostachyos
